LevelName	TileName	Style	StartSequence	EndSequence	Type1	Cel1	Type2	Cel2	Type2	Cel3	Type4	Cel4
1 Courtyard	wrd	4	3	3	WRD B	27		-1		-1		-1
1 Courtyard	wld	4	1	1	WLD B	29		-1		-1		-1
1 Courtyard	wld	4	0	0	WLD A	28		-1		-1		-1
1 Courtyard	wr	6	-1	-1	P_WR	183		-1		-1		-1
1 Courtyard	wl	6	-1	-1	P_WL	184		-1		-1		-1
1 Courtyard	wtlr	6	-1	-1	P_WTLL	187		-1		-1		-1
1 Courtyard	wtll	6	-1	-1	P_WTLL	187		-1		-1		-1
1 Courtyard	wbr	6	-1	-1	P_WBR	188		-1		-1		-1
1 Courtyard	wtr	6	-1	-1	P_WTR	186		-1		-1		-1
1 Courtyard	wbl	6	-1	-1	P_WBL	185		-1		-1		-1
1 Courtyard	wrd	1	0	0	WR A	20		-1		-1		-1
1 Courtyard	wrd	1	1	1	WRD 1	34		-1		-1		-1
1 Courtyard	wld	1	1	1	WL A	21		-1		-1		-1
1 Courtyard	wld	1	0	0	WLD 1	35		-1		-1		-1
1 Courtyard	wrd	2	0	0	WRD B	27		-1		-1		-1
1 Courtyard	wrd	2	1	1	WRD A	26		-1		-1		-1
1 Courtyard	wld	2	1	1	WLD B	29		-1		-1		-1
1 Courtyard	wld	2	0	0	WLD A	28		-1		-1		-1
1 Courtyard	wrd	6	0	0	WRD B	27		-1		-1		-1
1 Courtyard	wrd	6	1	1	WRD A	26		-1		-1		-1
1 Courtyard	wld	6	1	1	WLD B	29		-1		-1		-1
1 Courtyard	wld	6	0	0	WLD A	28		-1		-1		-1
1 Courtyard	fl	4	23	23	Fountn_01	433		-1		-1		-1
1 Courtyard	fl	4	15	15	Fountn_02	434		-1		-1		-1
1 Courtyard	fl	21	0	0	FLE 0 T	41		-1		-1		-1
1 Courtyard	fl	21	1	1	FLE 1 R	42		-1		-1		-1
1 Courtyard	fl	21	2	2	FLE 2 L	40		-1		-1		-1
1 Courtyard	fl	21	3	3	FLE 3 B	43		-1		-1		-1
1 Cave	wre	0	1	1	C_WLE 1	56		-1		-1		-1
1 Cave	wre	0	3	3	C_WLE 2	57		-1		-1		-1
1 Cave	wre	0	0	0	C_WLE 1	56		-1		-1		-1
1 Cave	wre	0	2	2	C_WLE 2	57		-1		-1		-1
1 Cave	fl	0	0	0	Cave Ltop	127		-1		-1		-1
1 Cave	fl	0	2	5	Cave LL	126		-1		-1		-1
1 Cave	fl	0	12	12	Cave LL	126		-1		-1		-1
1 Cave	fl	0	14	15	Cave LL	126		-1		-1		-1
1 Cave	fl	0	23	23	Cave LL	126		-1		-1		-1
1 Cave	fl	0	27	28	Cave LL	126		-1		-1		-1
1 Cave	fl	0	31	31	Cave LL	126		-1		-1		-1
1 Cave	fl	0	1	1	Cave LR	128		-1		-1		-1
1 Cave	fl	0	7	9	Cave LR	128		-1		-1		-1
1 Cave	fl	0	11	11	Cave LR	128		-1		-1		-1
1 Cave	fl	0	18	19	Cave LR	128		-1		-1		-1
1 Cave	fl	0	24	26	Cave LR	128		-1		-1		-1
1 Cave	fl	0	29	29	Cave LR	128		-1		-1		-1
1 Cave	fl	0	30	30	Cave LR2L	129		-1		-1		-1
1 Cave	fl	0	32	32	Cave R2LL	125		-1		-1		-1
1 Cave	fl	0	36	36	URC	135		-1		-1		-1
1 Cave	fl	0	34	34	LLC	136		-1		-1		-1
1 Cave	fl	0	6	6	Cave Lbot	130		-1		-1		-1
1 Cave	fl	0	10	10	Cave LTopLX	133		-1		-1		-1
1 Cave	fl	0	11	11	Cave LTopLngR	134		-1		-1		-1
1 Cave	fl	0	12	12	Cave LTopLngL	132		-1		-1		-1
1 Cave	fl	0	20	20	Cave Lbot	130		-1		-1		-1
1 Cave	fl	0	16	16	Cave LBotX	131		-1		-1		-1
1 Cave	fl	0	17	17	Cave Lbot	130		-1		-1		-1
1 Cave	fl	2	0	0	Cave fill	124		-1		-1		-1
1 Cave	fl	2	1	1	Cave LA	120	Cave LB	169	Cave LC	171		-1
1 Cave	fl	2	2	2	Cave RA	121	Cave RB	170	Cave RC	172		-1
1 Cave	fl	2	3	3	Cave Bot	122		-1		-1		-1
1 Cave	fl	2	4	4	Cave fill	124		-1		-1		-1
1 Cave	fl	2	5	5	Cave LA	120	Cave LB	169	Cave LC	171		-1
1 Cave	fl	2	6	6	Cave fill	124		-1		-1		-1
1 Cave	fl	2	7	7	Cave LA	120	Cave LB	169	Cave LC	171		-1
1 Cave	fl	2	8	8	Cave fill	124		-1		-1		-1
1 Cave	fl	2	9	9	Cave LA	120	Cave LB	169	Cave LC	171		-1
1 Cave	fl	2	10	10	Cave fill	124		-1		-1		-1
1 Cave	fl	2	11	11	Cave LA	120	Cave LB	169	Cave LC	171		-1
1 Cave	fl	2	12	12	Cave fill	124		-1		-1		-1
1 Cave	fl	2	13	13	Cave LA	120	Cave LB	169	Cave LC	171		-1
1 Cave	fl	2	14	14	Cave fill	124		-1		-1		-1
1 Cave	fl	2	15	15	Cave LA	120	Cave LB	169	Cave LC	171		-1
1 Cave	fl	2	16	19	Cave fill	124		-1		-1		-1
1 Cave	fl	2	20	23	Cave RA	121	Cave RB	170	Cave RC	172		-1
1 Cave	fl	2	24	25	Cave fill	124		-1		-1		-1
1 Cave	fl	2	26	27	Cave RA	121	Cave RB	170	Cave RC	172		-1
1 Cave	fl	2	28	30	Cave fill	124		-1		-1		-1
1 Cave	fl	2	31	31	Cave Top	123		-1		-1		-1
1 Cave	fl	2	46	46	Cave fill	124		-1		-1		-1
1 Cave	fl	2	47	47	Cave LA	120	Cave LB	169	Cave LC	171		-1
1 Cave	fl	2	49	49	Cave fill	124		-1		-1		-1
1 Cave	fl	2	50	50	Cave BlngXA	139		-1		-1		-1
1 Cave	fl	2	51	51	Cave BlngL	140		-1		-1		-1
1 Cave	fl	2	52	52	Cave fill	124		-1		-1		-1
1 Cave	fl	2	53	53	Cave BlngXA	139		-1		-1		-1
1 Cave	fl	2	54	54	Cave BlngXB	138		-1		-1		-1
1 Cave	fl	2	55	55	Cave RA	121	Cave RB	170	Cave RC	172		-1
1 Cave	fl	2	56	56	Cave BngR	137		-1		-1		-1
1 Cave	fl	2	59	59	Cave LA	120	Cave LB	169	Cave LC	171		-1
1 Cave	fl	2	61	61	Cave RA	121	Cave RB	170	Cave RC	172		-1
1 Cave	fl	2	33	34	Cave fill	124		-1		-1		-1
1 Cave	fl	2	36	36	Cave fill	124		-1		-1		-1
1 Cave	fl	2	43	43	Cave fill	124		-1		-1		-1
1 Cave	fl	2	38	38	TlngR	145		-1		-1		-1
1 Cave	fl	2	41	41	Tlng2B	144		-1		-1		-1
1 Cave	fl	2	40	40	Tlng2A	142		-1		-1		-1
1 Cave	fl	2	37	37	Tlng2A	142		-1		-1		-1
1 Cave	fl	2	44	44	TlngL	141		-1		-1		-1
1 Cave	fl	2	42	42	Tlng2E	143		-1		-1		-1
1 Cave	fl	3	17	17	TlngL	141		-1		-1		-1
1 Cave	fl	3	13	13	Tlng2B	144		-1		-1		-1
1 Cave	fl	3	4	4	Tlng2A	142		-1		-1		-1
1 Cave	fl	3	11	11	TlngR	145		-1		-1		-1
1 Cave	fl	21	1	1	CExt21_1	174		-1		-1		-1
1 Cave	fl	21	5	5	CExt21_1	174		-1		-1		-1
1 Cave	fl	21	2	2	CExt21_2	175		-1		-1		-1
1 Cave	fl	21	6	6	CExt21_2	175		-1		-1		-1
1 Cave	fl	21	0	0	CExt21_0	173		-1		-1		-1
1 Cave	fl	21	4	4	CExt21_0	173		-1		-1		-1
1 Cave	fl	21	3	3	CExt21_3	176		-1		-1		-1
1 Cave	fl	21	7	7	CExt21_3	176		-1		-1		-1
1 Cave	fl	1	4	4	Cave M LWT	146		-1		-1		-1
1 Cave	fl	1	6	6	Cave M LWT	146		-1		-1		-1
1 Cave	fl	1	12	12	Cave M LWT	146		-1		-1		-1
1 Cave	fl	1	14	14	Cave M LWT	146		-1		-1		-1
1 Cave	fl	1	16	16	Cave M LWT	146		-1		-1		-1
1 Cave	fl	1	34	34	Cave M LWT	146		-1		-1		-1
1 Cave	fl	1	1	1	Cave M LWB	147		-1		-1		-1
1 Cave	fl	1	5	5	Cave M LWB	147		-1		-1		-1
1 Cave	fl	1	7	7	Cave M LWB	147		-1		-1		-1
1 Cave	fl	1	13	13	Cave M LWB	147		-1		-1		-1
1 Cave	fl	1	15	15	Cave M LWB	147		-1		-1		-1
1 Cave	fl	1	17	17	Cave M LWB	147		-1		-1		-1
1 Cave	fl	1	18	19	Cave M RWB	149		-1		-1		-1
1 Cave	fl	1	22	23	Cave M RWB	149		-1		-1		-1
1 Cave	fl	1	30	30	Cave M RWB	149		-1		-1		-1
1 Cave	fl	1	33	33	Cave M RWB	149		-1		-1		-1
1 Cave	fl	1	2	2	Cave M RWT	150		-1		-1		-1
1 Cave	fl	1	24	25	Cave M RWT	150		-1		-1		-1
1 Cave	fl	1	28	29	Cave M RWT	150		-1		-1		-1
1 Cave	fl	1	31	31	Cave M RWT	150		-1		-1		-1
1 Cave	fl	1	10	10	Cave M LWS A	151		-1		-1		-1
1 Cave	fl	1	8	8	Cave M LWS B	152		-1		-1		-1
1 Cave	fl	1	11	11	Cave M LWS C	153		-1		-1		-1
1 Cave	fl	1	9	9	Cave M LWS D	154		-1		-1		-1
1 Cave	fl	1	20	20	Cave M RWS C	157		-1		-1		-1
1 Cave	fl	1	21	21	Cave M RWS D	158		-1		-1		-1
1 Cave	fl	1	26	26	Cave M RWS A	155		-1		-1		-1
1 Cave	fl	1	27	27	Cave M RWS B	156		-1		-1		-1
1 Cave	fl	1	0	0	Cave M BCT	159		-1		-1		-1
1 Cave	fl	1	3	3	Cave M BCB	160		-1		-1		-1
1 Cave	fl	1	32	32	Cave M TCT	161		-1		-1		-1
1 Cave	fl	1	35	35	Cave M TCB	162		-1		-1		-1
1 Cave	fl	1	39	39	Cave M LWI A	163		-1		-1		-1
1 Cave	fl	1	37	37	Cave M LWI B	164		-1		-1		-1
1 Cave	fl	1	38	38	Cave fill	124		-1		-1		-1
1 Cave	fl	1	36	36	Cave fill	124		-1		-1		-1
1 Cave	fl	1	42	42	Cave M RWI A	166		-1		-1		-1
1 Cave	fl	1	43	43	Cave M RWI B	167		-1		-1		-1
1 Cave	fl	1	40	41	Cave fill	124		-1		-1		-1
1 Cave	fl	4	0	0	CDwn_0	177		-1		-1		-1
1 Cave	fl	4	1	1	CDwn_1	178		-1		-1		-1
1 Cave	fl	4	2	2	CDwn_2	179		-1		-1		-1
1 Cave	fl	4	3	3	CDwn_3	180		-1		-1		-1
1 Tristram	fl	0	47	47	Cains Gibet	303		-1		-1		-1
1 Tristram	wr	1	0	6	WR A	20	WR B	38		-1		-1
1 Tristram	wl	1	0	10	WL A	21	WL B	39		-1		-1
1 Tristram	wtlr	1	0	0	WTLL	24		-1		-1		-1
1 Tristram	wtll	1	0	0	WTLL	24		-1		-1		-1
1 Tristram	wbr	1	0	0	WBR	25		-1		-1		-1
1 Tristram	wtr	1	0	0	WTR	23		-1		-1		-1
1 Tristram	wbl	1	0	0	WBL	22		-1		-1		-1
1 Tristram	wr	4	0	4	WR A	20	WR B	38		-1		-1
1 Tristram	wl	4	0	2	WL A	21	WL B	39		-1		-1
1 Tristram	wtlr	4	0	0	WTLL	24		-1		-1		-1
1 Tristram	wtll	4	0	0	WTLL	24		-1		-1		-1
1 Tristram	wbr	4	0	0	WBR	25		-1		-1		-1
1 Tristram	wtr	4	0	0	WTR	23		-1		-1		-1
1 Tristram	wbl	4	0	0	WBL	22		-1		-1		-1
1 Tristram	wr	5	0	2	WR A	20	WR B	38		-1		-1
1 Tristram	wl	5	0	8	WL A	21	WL B	39		-1		-1
1 Tristram	wtlr	5	0	0	WTLL	24		-1		-1		-1
1 Tristram	wtll	5	0	0	WTLL	24		-1		-1		-1
1 Tristram	wbr	5	0	0	WBR	25		-1		-1		-1
1 Tristram	wtr	5	0	0	WTR	23		-1		-1		-1
1 Tristram	wbl	5	0	0	WBL	22		-1		-1		-1
1 Tristram	wr	6	0	7	WR A	20	WR B	38		-1		-1
1 Tristram	wl	6	4	6	WL A	21	WL B	39		-1		-1
1 Tristram	wtlr	6	0	0	WTLL	24		-1		-1		-1
1 Tristram	wtll	6	0	0	WTLL	24		-1		-1		-1
1 Tristram	wbr	6	0	0	WBR	25		-1		-1		-1
1 Tristram	wtr	6	0	0	WTR	23		-1		-1		-1
1 Tristram	wbl	6	0	0	WBL	22		-1		-1		-1
1 Tristram	co	6	4	4	Co	90		-1		-1		-1
1 Tristram	wr	7	0	5	WR A	20	WR B	38		-1		-1
1 Tristram	wl	7	0	4	WL A	21	WL B	39		-1		-1
1 Tristram	wtlr	7	0	2	WTLL	24		-1		-1		-1
1 Tristram	wtll	7	0	1	WTLL	24		-1		-1		-1
1 Tristram	wbr	7	0	1	WBR	25		-1		-1		-1
1 Tristram	wtr	7	0	0	WTR	23		-1		-1		-1
1 Tristram	wbl	7	0	0	WBL	22		-1		-1		-1
1 Tristram	wr	10	0	7	WR A	20	WR B	38		-1		-1
1 Tristram	wl	10	4	6	WL A	21	WL B	39		-1		-1
1 Tristram	wtlr	10	0	0	WTLL	24		-1		-1		-1
1 Tristram	wtll	10	0	0	WTLL	24		-1		-1		-1
1 Tristram	wbr	10	0	0	WBR	25		-1		-1		-1
1 Tristram	wtr	10	0	0	WTR	23		-1		-1		-1
1 Tristram	wbl	10	0	0	WBL	22		-1		-1		-1
1 Tristram	co	10	4	4	Co	90		-1		-1		-1
1 Tristram	fl	2	4	7	River T A	4		-1		-1		-1
1 Tristram	fl	2	8	11	River M A	6	River M B	7	River M C	8		-1
1 Tristram	fl	2	12	15	Floor Path A	0	Floor Path B	1	Floor Path C	2	Floor Path D	3
1 Tristram	fl	2	16	19	River T A	4		-1		-1		-1
1 Tristram	fl	2	20	24	River M A	6	River M B	7	River M C	8		-1
1 Tristram	fl	3	0	3	Floor Path A	0	Floor Path B	1	Floor Path C	2	Floor Path D	3
1 Tristram	fl	3	4	7	River B A	5		-1		-1		-1
1 Tristram	fl	3	8	11	Floor Path A	0	Floor Path B	1	Floor Path C	2	Floor Path D	3
1 Tristram	fl	3	12	15	River B A	5		-1		-1		-1
1 Tristram	wr	2	0	3	Stn_WR a	11	Stn_WR b	12		-1		-1
1 Tristram	wr	2	4	4	Stn_L R E	18		-1		-1		-1
1 Tristram	wl	2	0	3	Stn_WL a	13	Stn_WL b	14		-1		-1
1 Tristram	wl	2	4	4	Stn_L L E	17		-1		-1		-1
1 Tristram	wtr	2	0	4	Stn_WL a	13	Stn_WL b	14		-1		-1
1 Tristram	wtlr	2	0	4	Stn_X	16		-1		-1		-1
1 Tristram	wtll	2	0	4	Stn_X	16		-1		-1		-1
1 Tristram	wbl	2	0	4	Stn_WR a	11	Stn_WR b	12		-1		-1
1 Tristram	wr	2	14	23	Stn_WR a	11	Stn_WR b	12		-1		-1
1 Tristram	wl	2	14	23	Stn_WL a	13	Stn_WL b	14		-1		-1
1 Cathedral	wr	0	-1	-1	WR A	20	WR B	38		-1		-1
1 Cathedral	wl	0	-1	-1	WL A	21	WL B	39		-1		-1
1 Cathedral	wtlr	0	-1	-1	WTLL	24		-1		-1		-1
1 Cathedral	wtll	0	-1	-1	WTLL	24		-1		-1		-1
1 Cathedral	wbr	0	-1	-1	WBR	25		-1		-1		-1
1 Cathedral	wtr	0	-1	-1	WTR	23		-1		-1		-1
1 Cathedral	wbl	0	-1	-1	WBL	22		-1		-1		-1
1 Cathedral	wrd	0	0	0	WRD A	26		-1		-1		-1
1 Cathedral	wrd	0	1	1	WRD B	27		-1		-1		-1
1 Cathedral	wld	0	1	1	WLD A	28		-1		-1		-1
1 Cathedral	wld	0	0	0	WLD B	29		-1		-1		-1
1 Cathedral	wre	0	1	1	WRE A	30		-1		-1		-1
1 Cathedral	wre	0	3	3	WRE B	31		-1		-1		-1
1 Cathedral	wle	0	0	0	WLE A	32		-1		-1		-1
1 Cathedral	wle	0	2	2	WLE B	33		-1		-1		-1
1 Cathedral	co	0	0	0	WBR	25		-1		-1		-1
1 Cathedral	fl	5	6	6	Mona_ALTER A	118		-1		-1		-1
1 Cathedral	fl	5	8	8	Mona_ALTER A	118		-1		-1		-1
1 Cathedral	wr	1	0	3	WR A	20	WR B	38		-1		-1
1 Cathedral	wl	1	-1	-1	WL A	21	WL B	39		-1		-1
1 Cathedral	wtlr	1	-1	-1	WTLL	24		-1		-1		-1
1 Cathedral	wtll	1	-1	-1	WTLL	24		-1		-1		-1
1 Cathedral	wbr	1	-1	-1	WBR	25		-1		-1		-1
1 Cathedral	wtr	1	-1	-1	WTR	23		-1		-1		-1
1 Cathedral	wbl	1	-1	-1	WBL	22		-1		-1		-1
1 Cathedral	wrd	1	2	2	WRD 1	34		-1		-1		-1
1 Cathedral	wld	1	2	2	WLD 1	35		-1		-1		-1
1 Cathedral	wld	1	0	0	WLD A	28		-1		-1		-1
1 Cathedral	wld	1	1	1	WLD B	29		-1		-1		-1
1 Cathedral	wre	1	0	0	WRE A	30		-1		-1		-1
1 Cathedral	wre	1	1	1	WRE B	31		-1		-1		-1
1 Cathedral	fl	4	28	28	Waypoint	307		-1		-1		-1
1 Cathedral	wr	4	-1	-1	WR A	20	WR B	38		-1		-1
1 Cathedral	wl	4	-1	-1	WL A	21	WL B	39		-1		-1
1 Cathedral	wtlr	4	-1	-1	WTLL	24		-1		-1		-1
1 Cathedral	wtll	4	-1	-1	WTLL	24		-1		-1		-1
1 Cathedral	wbr	4	-1	-1	WBR	25		-1		-1		-1
1 Cathedral	wtr	4	-1	-1	WTR	23		-1		-1		-1
1 Cathedral	wbl	4	-1	-1	WBL	22		-1		-1		-1
1 Cathedral	wrd	4	2	2	WR A	20		-1		-1		-1
1 Cathedral	wrd	4	5	5	WRD A	26		-1		-1		-1
1 Cathedral	wrd	4	4	4	WR A	20		-1		-1		-1
1 Cathedral	wrd	4	3	3	WRD B	27		-1		-1		-1
1 Cathedral	wr	14	-1	-1	WR A	20	WR B	38		-1		-1
1 Cathedral	wl	14	-1	-1	WL A	21	WL B	39		-1		-1
1 Cathedral	wtlr	14	-1	-1	WTLL	24		-1		-1		-1
1 Cathedral	wtll	14	-1	-1	WTLL	24		-1		-1		-1
1 Cathedral	wbr	14	-1	-1	WBR	25		-1		-1		-1
1 Cathedral	wtr	14	-1	-1	WTR	23		-1		-1		-1
1 Cathedral	wbl	14	-1	-1	WBL	22		-1		-1		-1
1 Monestary	fl	0	1	46	Floor Path A	0	Floor Path B	1	Floor Path C	2	Floor Path D	3
1 Monestary	wr	1	-1	-1	WR A	20	WR B	38		-1		-1
1 Monestary	wl	1	-1	-1	WL A	21	WL B	39		-1		-1
1 Monestary	wtlr	1	-1	-1	WTLL	24		-1		-1		-1
1 Monestary	wtll	1	-1	-1	WTLL	24		-1		-1		-1
1 Monestary	wbr	1	-1	-1	WBR	25		-1		-1		-1
1 Monestary	wtr	1	-1	-1	WTR	23		-1		-1		-1
1 Monestary	wbl	1	-1	-1	WBL	22		-1		-1		-1
1 Monestary	wrd	1	0	0	WR A	20		-1		-1		-1
1 Monestary	wrd	1	1	1	WRD 1	34		-1		-1		-1
1 Monestary	wld	1	0	0	WL A	21		-1		-1		-1
1 Monestary	wld	1	1	1	WLD 1	35		-1		-1		-1
1 Monestary	wr	2	0	3	Stn_WR a	11	Stn_WR b	12		-1		-1
1 Monestary	wr	2	4	4	Stn_L R E	18		-1		-1		-1
1 Monestary	wl	2	0	3	Stn_WL a	13	Stn_WL b	14		-1		-1
1 Monestary	wl	2	4	4	Stn_L L E	17		-1		-1		-1
1 Monestary	wtr	2	0	4	Stn_WL a	13	Stn_WL b	14		-1		-1
1 Monestary	wtlr	2	0	4	Stn_X	16		-1		-1		-1
1 Monestary	wtll	2	0	4	Stn_X	16		-1		-1		-1
1 Monestary	wbl	2	0	4	Stn_WR a	11	Stn_WR b	12		-1		-1
1 Monestary	wr	4	-1	-1	WR A	20	WR B	38		-1		-1
1 Monestary	wl	4	-1	-1	WL A	21	WL B	39		-1		-1
1 Monestary	wtlr	4	-1	-1	WTLL	24		-1		-1		-1
1 Monestary	wtll	4	-1	-1	WTLL	24		-1		-1		-1
1 Monestary	wbr	4	-1	-1	WBR	25		-1		-1		-1
1 Monestary	wtr	4	-1	-1	WTR	23		-1		-1		-1
1 Monestary	wbl	4	-1	-1	WBL	22		-1		-1		-1
1 Monestary	wrd	4	0	0	WRD B	27		-1		-1		-1
1 Monestary	wrd	4	1	1	WRD A	26		-1		-1		-1
1 Monestary	wld	4	0	0	WLD A	28		-1		-1		-1
1 Monestary	wld	4	1	1	WLD B	29		-1		-1		-1
1 Monestary	wr	6	-1	-1	WR A	20	WR B	38		-1		-1
1 Monestary	wl	6	-1	-1	WL A	21	WL B	39		-1		-1
1 Monestary	wtlr	6	-1	-1	WTLL	24		-1		-1		-1
1 Monestary	wtll	6	-1	-1	WTLL	24		-1		-1		-1
1 Monestary	wbr	6	-1	-1	WBR	25		-1		-1		-1
1 Monestary	wtr	6	-1	-1	WTR	23		-1		-1		-1
1 Monestary	wbl	6	-1	-1	WBL	22		-1		-1		-1
1 Monestary	wrd	6	0	0	WRE A	30		-1		-1		-1
1 Monestary	wrd	6	1	1	WRE B	31		-1		-1		-1
1 Monestary	wr	7	-1	-1	WR A	20	WR B	38		-1		-1
1 Monestary	wl	7	-1	-1	WL A	21	WL B	39		-1		-1
1 Monestary	wtlr	7	-1	-1	WTLL	24		-1		-1		-1
1 Monestary	wtll	7	-1	-1	WTLL	24		-1		-1		-1
1 Monestary	wbr	7	-1	-1	WBR	25		-1		-1		-1
1 Monestary	wtr	7	-1	-1	WTR	23		-1		-1		-1
1 Monestary	wbl	7	-1	-1	WBL	22		-1		-1		-1
1 Monestary	wld	6	1	1	WLD A	28		-1		-1		-1
1 Monestary	wld	6	0	0	WLD B	29		-1		-1		-1
1 Monestary	wrd	7	0	0	WRD B	27		-1		-1		-1
1 Monestary	wrd	7	1	1	WRD A	26		-1		-1		-1
1 Monestary	wld	7	1	1	WLD A	28		-1		-1		-1
1 Monestary	wld	7	0	0	WLD B	29		-1		-1		-1
1 Monestary	wre	6	1	1	WRE A	30		-1		-1		-1
1 Monestary	wre	6	3	3	WRE B	31		-1		-1		-1
1 Monestary	wre	6	0	0	WLE A	32		-1		-1		-1
1 Monestary	wre	6	2	2	WLE B	33		-1		-1		-1
1 Monestary	wre	7	1	1	WRE A	30		-1		-1		-1
1 Monestary	wre	7	3	3	WRE B	31		-1		-1		-1
1 Monestary	wre	7	0	0	WLE A	32		-1		-1		-1
1 Monestary	wre	7	2	2	WLE B	33		-1		-1		-1
2 Town	fl	26	4	4	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	26	9	9	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	26	17	17	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	26	20	20	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	26	33	33	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	26	41	41	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	26	44	44	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	27	5	5	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	27	7	7	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	27	14	14	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	27	19	19	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	27	23	23	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	27	33	33	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	27	37	37	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	27	45	45	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	27	48	48	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	28	6	6	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	28	10	10	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	28	13	13	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	28	16	16	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	28	23	23	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	28	28	28	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	28	36	36	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	28	39	39	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	28	45	45	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	28	50	50	rock2	257	rock3	258	rock4	259		-1
2 Town	fl	28	57	57	rock2	257	rock3	258	rock4	259		-1
2 Harem	wr	0	5	5	RD_WRD B	113		-1		-1		-1
2 Harem	wr	0	4	4	RD_WRD A	112		-1		-1		-1
2 Harem	wl	0	5	5	RD_WLD A	110		-1		-1		-1
2 Harem	wl	0	4	4	RD_WLD B	111		-1		-1		-1
2 Harem	wr	0	-1	-1	RD_WR	100		-1		-1		-1
2 Harem	wl	0	-1	-1	RD_WL	101		-1		-1		-1
2 Harem	wtlr	0	-1	-1	RD_WTLL	104		-1		-1		-1
2 Harem	wtll	0	-1	-1	RD_WTLL	104		-1		-1		-1
2 Harem	wbr	0	-1	-1	RD_WBR	105		-1		-1		-1
2 Harem	wtr	0	-1	-1	RD_WTR	103		-1		-1		-1
2 Harem	wbl	0	-1	-1	RD_WBL	102		-1		-1		-1
2 Harem	wre	0	1	1	RD_WRE B	109		-1		-1		-1
2 Harem	wre	0	0	0	RD_WRE A	108		-1		-1		-1
2 Harem	wle	0	0	0	RD_WLE A	106		-1		-1		-1
2 Harem	wle	0	1	1	RD_WLE B	107		-1		-1		-1
2 Harem	wrd	0	-1	-1	RD_WRD 1	114		-1		-1		-1
2 Harem	wld	0	-1	-1	RD_WLD 1	115		-1		-1		-1
2 Harem	wr	1	2	2	red arch_WR	274		-1		-1		-1
2 Harem	wl	1	2	2	red arch_WL	275		-1		-1		-1
2 Harem	wl	1	0	0	red arch_WL	275		-1		-1		-1
2 Harem	wbl	1	0	0	red arch_WBL	276		-1		-1		-1
2 Harem	wr	1	-1	-1	red arch_WR	274		-1		-1		-1
2 Harem	wl	1	-1	-1	red arch_WL	275		-1		-1		-1
2 Harem	wtlr	1	-1	-1	red arch_WTLL	278		-1		-1		-1
2 Harem	wtll	1	-1	-1	red arch_WTLL	278		-1		-1		-1
2 Harem	wbr	1	-1	-1	red arch_WBR	279		-1		-1		-1
2 Harem	wtr	1	-1	-1	red arch_WTR	277		-1		-1		-1
2 Harem	wbl	1	-1	-1	red arch_WBL	276		-1		-1		-1
2 Harem	wre	1	1	1	RD_WRE B	109		-1		-1		-1
2 Harem	wre	1	0	0	RD_WRE A	108		-1		-1		-1
2 Harem	wle	1	1	1	RD_WLE A	106		-1		-1		-1
2 Harem	wle	1	0	0	RD_WLE B	107		-1		-1		-1
2 Harem	wrd	1	-1	-1	red arch_WR	274		-1		-1		-1
2 Harem	wld	1	-1	-1	red arch_WL	275		-1		-1		-1
2 Harem	wl	2	4	4	RD_WL	101		-1		-1		-1
2 Harem	wl	2	3	3	RD_WLE A	106		-1		-1		-1
2 Harem	wl	2	2	2	RD_WLE B	107		-1		-1		-1
2 Harem	wl	2	0	1	RD_WL	101		-1		-1		-1
2 Harem	wr	3	2	2	red arch_WR	274		-1		-1		-1
2 Harem	wl	3	2	2	red arch_WL	275		-1		-1		-1
2 Harem	wbl	3	1	1	RD_WBL	102		-1		-1		-1
2 Harem	wbl	3	2	2	RD_WBL	102		-1		-1		-1
2 Harem	wtll	3	1	1	RD_WTLL	104		-1		-1		-1
2 Harem	co	3	0	0	RD_WBR	105		-1		-1		-1
2 Harem	wr	3	0	0	RD_WR	100		-1		-1		-1
2 Harem	wl	3	0	0	RD_WL	101		-1		-1		-1
