sequence	mode	frame	dir	event	eol
seq_swdragonbreath	S1	8		1	0
seq_swdragonbreath	S1	9			0
seq_swdragonbreath	S1	10		1	0
seq_swdragonbreath	S1	11			0
seq_swdragonbreath	S1	12		1	0
seq_swdragonbreath	S1	12			0
seq_swdragonbreath	S1	13		1	0
seq_swdragonbreath	S1	13			0
seq_swdragonbreath	S1	14			0
seq_ancientleap	S1	0			0
seq_ancientleap	S1	1			0
seq_ancientleap	S1	2			0
seq_ancientleap	S1	3			0
seq_ancientleap	S1	4			0
seq_ancientleap	S1	5		1	0
seq_ancientleap	S1	6			0
seq_ancientleap	S1	7			0
seq_ancientleap	S1	8			0
seq_ancientleap	S1	9			0
seq_ancientleap	S1	10			0
seq_ancientleap	S1	11		1	0
seq_ancientleap	S1	12			0
seq_ancientleap	S1	13		1	0
seq_ancientleap	S1	14		1	0
seq_ancientleap	S1	15			0
seq_ancientleap	S1	16			0
seq_impinferno	SC	0			0
seq_impinferno	SC	1			0
seq_impinferno	SC	2			0
seq_impinferno	SC	3			0
seq_impinferno	SC	4			0
seq_impinferno	SC	5			0
seq_impinferno	SC	6			0
seq_impinferno	SC	7			0
seq_impinferno	SC	8			0
seq_impinferno	SC	9			0
seq_impinferno	SC	10			0
seq_impinferno	SC	11			0
seq_impinferno	SC	12		4	0
seq_impinferno	SC	13			0
seq_swdragonflight	SC	0			0
seq_swdragonflight	SC	1			0
seq_swdragonflight	SC	2			0
seq_swdragonflight	SC	3			0
seq_swdragonflight	SC	4			0
seq_swdragonflight	SC	5			0
seq_swdragonflight	SC	6			0
seq_swdragonflight	SC	7			0
seq_swdragonflight	SC	8			0
seq_swdragonflight	SC	9		1	0
seq_swdragonflight	A1	0			0
seq_swdragonflight	A1	1			0
seq_swdragonflight	A1	2			0
seq_swdragonflight	A1	3			0
seq_swdragonflight	A1	4		1	0
seq_swdragonflight	A1	5			0
seq_swdragonflight	A1	6			0
seq_swdragonflight	A1	7			0
seq_swdragonflight	A1	8			0
seq_swdragonflight	A1	9			0
seq_swdragonflight	A1	10			0
seq_swdragonflight	A1	11			0
seq_swdragonflight	A1	12			0
seq_siegebeastcharge	WL	0		1	0
seq_siegebeastcharge	WL	0		1	0
seq_siegebeastcharge	WL	1		1	0
seq_siegebeastcharge	WL	1		1	0
seq_siegebeastcharge	WL	2		1	0
seq_siegebeastcharge	WL	2		1	0
seq_siegebeastcharge	WL	3		1	0
seq_siegebeastcharge	WL	4		1	0
seq_siegebeastcharge	WL	4		1	0
seq_siegebeastcharge	WL	5		1	0
seq_siegebeastcharge	WL	5		1	0
seq_siegebeastcharge	WL	6		1	0
seq_siegebeastcharge	WL	6		1	0
seq_siegebeastcharge	WL	7		1	0
seq_siegebeastcharge	A2	0			0
seq_siegebeastcharge	A2	1			0
seq_siegebeastcharge	A2	2		3	0
seq_siegebeastcharge	A2	3			0
seq_siegebeastcharge	A2	4		1	0
seq_siegebeastcharge	A2	5			0
seq_siegebeastcharge	A2	6			0
seq_siegebeastcharge	A2	7			0
seq_baalinferno	S1	1			0
seq_baalinferno	S1	2			0
seq_baalinferno	S1	4			0
seq_baalinferno	S1	5			0
seq_baalinferno	S1	6			0
seq_baalinferno	S1	7			0
seq_baalinferno	S1	8			0
seq_baalinferno	S1	9			0
seq_baalinferno	S1	10			0
seq_baalinferno	S1	11			0
seq_baalinferno	S1	11			0
seq_baalinferno	S1	11		4	0
seq_baalinferno	S1	12			0
seq_baalinferno	S1	13			0
seq_baalinferno	S1	14			0
seq_baalinferno	S1	15			0
seq_swbladefury	SC	0			0
seq_swbladefury	SC	1			0
seq_swbladefury	SC	2			0
seq_swbladefury	SC	3			0
seq_swbladefury	SC	4			0
seq_swbladefury	SC	5			0
seq_swbladefury	SC	6			0
seq_swbladefury	SC	7			0
seq_swbladefury	SC	8			0
seq_swbladefury	SC	9		1	0
seq_swbladefury	SC	10			0
seq_swbladefury	SC	11			0
seq_swbladefury	SC	12			0
seq_swbladefury	SC	13			0
seq_swbladefury	SC	14			0
seq_swbladefury	SC	15			0
seq_swbladefury	SC	16			0
seq_wakeofinferno	S2	0			0
seq_wakeofinferno	S2	0			0
seq_wakeofinferno	S2	0			0
seq_wakeofinferno	S2	0			0
seq_wakeofinferno	S2	0			0
seq_wakeofinferno	S2	0			0
seq_wakeofinferno	S2	0			0
seq_wakeofinferno	S2	0			0
seq_wakeofinferno	S2	0			0
seq_wakeofinferno	S2	0			0
seq_wakeofinferno	S2	1		1	0
seq_wakeofinferno	S2	0			0
seq_sandraiderflurry	A1	1			0
seq_sandraiderflurry	A1	3			0
seq_sandraiderflurry	A1	5			0
seq_sandraiderflurry	A1	7			0
seq_sandraiderflurry	A1	9			0
seq_sandraiderflurry	A1	10		1	0
seq_sandraiderflurry	A1	11			0
seq_sandraiderflurry	A1	12			0
seq_sandraiderflurry	A1	13			0
seq_sandraiderflurry	A1	14			0
seq_sandraiderflurry	A1	13			0
seq_sandraiderflurry	A1	12			0
seq_sandraiderflurry	A1	11			0
seq_sandraiderflurry	A1	10		1	0
seq_sandraiderflurry	A1	9			0
seq_sandraiderflurry	A1	7			0
seq_sandraiderflurry	A1	9			0
seq_sandraiderflurry	A1	11			0
seq_sandraiderflurry	A1	12			0
seq_sandraiderflurry	A1	13			0
seq_sandraiderflurry	A1	14			0
seq_sandraiderflurry	A1	13			0
seq_sandraiderflurry	A1	12			0
seq_sandraiderflurry	A1	11			0
seq_sandraiderflurry	A1	10		1	0
seq_sandraiderflurry	A1	9			0
seq_sandraiderflurry	A1	7			0
seq_sandraiderflurry	A1	9			0
seq_sandraiderflurry	A1	11			0
seq_sandraiderflurry	A1	12			0
seq_sandraiderflurry	A1	13			0
seq_sandraiderflurry	A1	14			0
seq_crlancerjab	A1	0			0
seq_crlancerjab	A1	1			0
seq_crlancerjab	A1	2			0
seq_crlancerjab	A1	3			0
seq_crlancerjab	A1	5			0
seq_crlancerjab	A1	7			0
seq_crlancerjab	A1	9			0
seq_crlancerjab	A1	11		1	0
seq_crlancerjab	A1	9			0
seq_crlancerjab	A1	7			0
seq_crlancerjab	A1	9			0
seq_crlancerjab	A1	11		1	0
seq_crlancerjab	A1	9			0
seq_crlancerjab	A1	7			0
seq_crlancerjab	A1	9			0
seq_crlancerjab	A1	11		1	0
seq_crlancerjab	A1	10			0
seq_crlancerjab	A1	12			0
seq_crlancerjab	A1	13			0
seq_crlancerjab	A1	14			0
seq_crlancerjab	A1	15			0
seq_crlancerjab	A1	16			0
seq_crlancerjab	A1	17			0
